Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
193459,C0068.0000R,2024-03-12,2147.7899999999986,194.2,95.9,40.1,3845.59,16.788,86400,189,0,0,0,62,0,0,0,0,1,3,15,0,4,0,0,0,0,0
193459,C0068.0000R,2024-03-13,2159.75,194.7,98.0,37.8,3704.3999999999996,6.33,32700,173,0,0,0,33,0,0,0,0,2,0,15,0,9,0,0,0,0,0
193462,C1284.0000R,2024-03-21,2176.8399999999983,171.8,91.8,40.3,3699.5399999999995,22.28,129594,298,0,3,0,28,1,19,0,0,1,1,24,0,19,0,0,0,0,0
193462,C1284.0000R,2024-03-22,2173.719999999999,172.6,86.0,40.4,3474.4,22.363,129598,265,0,0,0,39,0,6,0,0,0,3,77,0,26,0,0,0,0,1
193462,C1284.0000R,2024-03-23,2165.4299999999985,172.2,81.9,41.3,3382.47,22.356,129596,230,0,0,0,42,0,5,0,0,0,2,61,0,17,0,0,0,0,0
193462,C1284.0000R,2024-03-24,2165.969999999999,172.6,83.1,41.4,3440.3399999999997,21.49,124194,256,0,0,0,46,0,0,0,0,1,0,35,0,33,0,0,0,0,0
193462,C1284.0000R,2024-03-25,2160.439999999999,173.0,87.6,37.6,3293.7599999999998,2.495,14400,192,0,0,0,27,0,0,0,0,2,1,9,0,26,0,0,0,0,0
193463,C1298.0000R,2024-03-13,2159.75,171.4,98.0,37.8,3704.3999999999996,9.195,53700,173,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193463,C1298.0000R,2024-03-14,2175.439999999999,169.5,89.0,40.2,3577.8,14.932,86402,188,0,1,0,72,0,4,0,0,0,3,1,0,29,0,0,0,0,0
193463,C1298.0000R,2024-03-15,2177.729999999998,171.6,93.8,39.5,3705.1,14.934,86400,197,0,0,0,80,0,0,0,0,1,6,2,0,26,0,0,0,0,0
193463,C1298.0000R,2024-03-16,2184.049999999998,173.0,97.4,38.7,3769.3800000000006,14.951,86398,203,0,0,0,91,0,0,0,0,0,8,4,0,6,0,0,0,0,0
193463,C1298.0000R,2024-03-17,2184.0999999999995,173.3,96.4,38.7,3730.6800000000003,14.912,86400,206,0,0,0,119,0,0,0,0,2,9,1,0,13,0,0,0,0,0
193463,C1298.0000R,2024-03-18,2184.0999999999995,172.9,92.5,39.4,3644.5,14.907,86400,185,0,0,0,104,0,0,0,0,0,7,3,0,11,0,0,0,0,0
193463,C1298.0000R,2024-03-19,2184.039999999998,172.8,93.2,39.3,3662.7599999999998,14.862,86400,169,0,0,0,86,0,0,0,0,1,0,1,0,9,0,0,0,0,0
193463,C1298.0000R,2024-03-20,2184.2599999999998,173.1,88.8,36.4,3232.3199999999997,10.703,61802,162,0,0,0,66,0,6,0,0,0,0,1,0,15,0,0,0,0,0
193533,C1165.0000R,2024-04-11,2131.179999999999,195.7,93.8,36.2,3395.56,15.236,77822,175,0,0,0,16,0,0,0,0,0,1,0,0,2,0,0,0,0,0
193533,C1165.0000R,2024-04-12,2140.099999999999,196.6,98.4,32.8,3227.52,24.909,126722,206,0,1,0,106,0,0,0,0,3,9,3,0,4,0,0,0,0,0
